# 4x4x3 supercell for harmonic, 4x4x3 supercell for cubic ifcs
# 53x53x33 k points for kappa
# cubic ifcs up to 15NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 20 K
"Frequency (THz)" "kappa spec xx (W/mK/THz)" "kappa spec yy (W/mK/THz)" "kappa spec zz (W/mK/THz)" "cumulative kappa xx (W/mK)" "cumulative kappa yy (W/mK)" "cumulative kappa zz (W/mK)"
4.16712 690.13437 690.13437 642.67984 39803.56354 39803.56354 67294.64994
4.19709 657.93086 657.93086 613.88346 39823.28781 39823.28781 67313.05371
4.22707 626.55382 626.55382 586.04199 39842.07142 39842.07142 67330.62280
4.25705 595.94318 595.94318 558.21197 39859.93735 39859.93735 67347.35758
4.28703 565.49441 565.49441 530.03385 39876.89044 39876.89044 67363.24759
4.31701 535.27174 535.27174 502.41404 39892.93749 39892.93748 67378.30959
4.34699 504.83168 504.83168 475.28978 39908.07196 39908.07196 67392.55842
4.37697 476.05097 476.05097 448.60121 39922.34361 39922.34361 67406.00714
4.40695 448.20477 448.20477 422.54178 39935.78045 39935.78045 67418.67463
4.43693 422.34658 422.34658 397.28761 39948.44208 39948.44208 67430.58501
4.46691 397.91928 397.91928 373.42984 39960.37140 39960.37140 67441.78015
4.49689 375.02244 375.02244 351.41631 39971.61429 39971.61429 67452.31535
4.52687 353.82575 353.82575 331.31484 39982.22172 39982.22172 67462.24792
4.55685 334.13336 334.13336 312.93226 39992.23879 39992.23878 67471.62939
4.58682 316.17617 316.17617 296.55953 40001.71751 40001.71751 67480.52002
4.61680 299.72965 299.72965 282.11017 40010.70318 40010.70318 67488.97747
4.64678 284.37103 284.37103 269.42419 40019.22841 40019.22841 67497.05461
4.67676 269.82273 269.82273 257.93164 40027.31749 40027.31749 67504.78720
4.70674 256.34791 256.34791 247.15318 40035.00261 40035.00260 67512.19667
4.73672 243.79566 243.79566 236.57973 40042.31142 40042.31141 67519.28915
4.76670 231.52477 231.52477 225.80018 40049.25235 40049.25235 67526.05847
4.79668 219.23814 219.23814 214.55200 40055.82495 40055.82495 67532.49058
4.82666 207.04867 207.04867 203.10141 40062.03211 40062.03211 67538.57940
4.85664 195.02045 195.02045 191.95616 40067.87868 40067.87868 67544.33410
4.88662 183.54401 183.54401 181.22604 40073.38119 40073.38119 67549.76712
4.91660 172.96139 172.96139 171.04086 40078.56644 40078.56644 67554.89480
4.94658 163.33293 163.33293 161.58155 40083.46304 40083.46304 67559.73889
4.97655 154.35171 154.35171 152.79314 40088.09039 40088.09038 67564.31952
5.00653 145.70173 145.70173 144.62098 40092.45841 40092.45841 67568.65514
5.03651 137.02650 137.02650 137.07500 40096.56637 40096.56636 67572.76455
5.06649 128.91015 128.91015 134.71666 40100.43099 40100.43099 67576.80325
5.09647 121.15678 121.15678 126.70122 40104.06318 40104.06318 67580.60166
5.12645 114.12592 114.12592 119.58156 40107.48459 40107.48459 67584.18662
5.15643 107.48980 107.48980 113.57664 40110.70706 40110.70705 67587.59157
5.18641 101.30865 101.30865 107.64924 40113.74421 40113.74421 67590.81881
5.21639 95.50611 95.50611 102.13853 40116.60741 40116.60741 67593.88085
5.24637 89.99049 89.99049 96.69660 40119.30526 40119.30526 67596.77974
5.27635 84.72958 84.72958 91.40043 40121.84539 40121.84539 67599.51985
5.30633 79.79727 79.79727 87.66782 40124.23765 40124.23765 67602.14807
5.33631 75.05709 75.05709 82.94545 40126.48781 40126.48780 67604.63471
5.36628 70.70248 70.70248 77.68181 40128.60741 40128.60741 67606.96355
