# 4x4x3 supercell for harmonic, 4x4x3 supercell for cubic ifcs
# 53x53x33 k points for kappa
# cubic ifcs up to 15NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 20 K
"k index (irred.)" "branch index" "f (THz)" "lifetime (ps)" "mfp (nm)" multiplicity "modal kappa^{xx} (W/mK)" "modal kappa^{yy} (W/mK)" "modal kappa^{zz} (W/mK)"
15 8 19.73099 4.77104 1.08522 2 0.00000 0.00000 0.00000
15 9 19.80831 4.43078 1.19746 2 0.00000 0.00000 0.00000
15 10 19.80831 4.43078 1.19746 2 0.00000 0.00000 0.00000
15 11 23.95135 5.87610 20.34720 2 0.00000 0.00000 0.00000
15 12 24.90394 3.00906 8.28945 2 0.00000 0.00000 0.00000
16 1 4.79965 186412.00000 768860.00000 2 0.00000 0.00000 0.01491
16 2 4.79965 186412.00000 768860.00000 2 0.00000 0.00000 0.01491
16 3 5.49292 12012.50000 41643.50000 2 0.00000 0.00000 0.00017
16 4 5.49292 12012.50000 41643.50000 2 0.00000 0.00000 0.00017
16 5 9.47860 434.45700 4071.85000 2 0.00000 0.00000 0.00000
16 6 11.13081 168.74100 1471.53000 2 0.00000 0.00000 0.00000
16 7 19.74526 4.81681 1.16011 2 0.00000 0.00000 0.00000
16 8 19.74526 4.81681 1.16011 2 0.00000 0.00000 0.00000
16 9 19.79194 4.20362 1.12301 2 0.00000 0.00000 0.00000
16 10 19.79194 4.20362 1.12301 2 0.00000 0.00000 0.00000
16 11 24.15845 5.29659 17.72310 2 0.00000 0.00000 0.00000
16 12 24.73141 3.44638 10.05660 2 0.00000 0.00000 0.00000
17 1 5.04401 785166.00000 3071260.00000 2 0.00000 0.00000 0.03471
17 2 5.04401 785166.00000 3071260.00000 2 0.00000 0.00000 0.03471
17 3 5.27524 299952.00000 1107400.00000 2 0.00000 0.00000 0.00742
17 4 5.27524 299952.00000 1107400.00000 2 0.00000 0.00000 0.00742
17 5 10.04242 311.52700 2856.18000 2 0.00000 0.00000 0.00000
17 6 10.59341 230.00100 2058.83000 2 0.00000 0.00000 0.00000
17 7 19.76025 4.85672 1.22465 2 0.00000 0.00000 0.00000
17 8 19.76025 4.85672 1.22465 2 0.00000 0.00000 0.00000
17 9 19.77587 4.71770 1.23146 2 0.00000 0.00000 0.00000
17 10 19.77587 4.71770 1.23146 2 0.00000 0.00000 0.00000
17 11 24.35802 4.54070 14.59940 2 0.00000 0.00000 0.00000
17 12 24.54922 3.94827 12.12890 2 0.00000 0.00000 0.00000
18 1 0.39200 988673.00000 6116320.00000 6 62.60110 62.60100 0.00000
18 2 0.41557 2246020.00000 13322700.00000 6 129.57300 129.57300 0.00000
18 3 0.77200 2182640.00000 23413400.00000 6 338.49800 338.50000 0.00000
18 4 7.07426 11922.60000 4732.17000 6 0.00000 0.00000 0.00000
18 5 7.10697 11572.70000 15346.00000 6 0.00000 0.00000 0.00000
18 6 16.25712 4.72561 1.64428 6 0.00000 0.00000 0.00000
