# k j freq[thz] mfp[nm] kappa[W/m/K]
3.50000000e+01 3.00000000e+00 1.95768073e+00 6.12119000e+00 1.10163000e-05
3.50000000e+01 4.00000000e+00 2.02893829e+00 6.47471000e+00 1.14462000e-05
3.50000000e+01 5.00000000e+00 2.04408978e+00 1.14538000e+01 4.07834000e-05
3.50000000e+01 6.00000000e+00 2.95240858e+00 8.58650000e-01 1.75988000e-06
3.60000000e+01 1.00000000e+00 1.25848485e+00 5.52647000e+00 1.55375000e-05
3.60000000e+01 2.00000000e+00 1.35331205e+00 5.13854000e+00 1.39957000e-05
3.60000000e+01 3.00000000e+00 1.88871658e+00 1.84577000e+01 7.00557000e-05
3.60000000e+01 4.00000000e+00 2.01112165e+00 6.71727000e+00 1.26249000e-05
3.60000000e+01 5.00000000e+00 2.07938429e+00 6.70484000e+00 1.19248000e-05
3.60000000e+01 6.00000000e+00 3.03638331e+00 5.97965000e-01 9.85930000e-07
3.70000000e+01 1.00000000e+00 1.14885990e+00 5.33984000e+00 1.58734000e-05
3.70000000e+01 2.00000000e+00 1.24774030e+00 5.10756000e+00 1.46655000e-05
3.70000000e+01 3.00000000e+00 1.72727559e+00 2.85372000e+01 1.12357000e-04
3.70000000e+01 4.00000000e+00 2.05863569e+00 6.96375000e+00 1.35611000e-05
3.70000000e+01 5.00000000e+00 2.12327984e+00 6.28688000e+00 1.05234000e-05
3.70000000e+01 6.00000000e+00 3.11076171e+00 3.67327000e-01 4.10715000e-07
3.80000000e+01 1.00000000e+00 1.03430339e+00 5.55760000e+00 1.73151000e-05
3.80000000e+01 2.00000000e+00 1.13741984e+00 5.07927000e+00 1.52092000e-05
3.80000000e+01 3.00000000e+00 1.56081309e+00 3.94490000e+01 1.60108000e-04
3.80000000e+01 4.00000000e+00 2.09969220e+00 6.93398000e+00 1.34769000e-05
3.80000000e+01 5.00000000e+00 2.16056797e+00 5.45153000e+00 8.12077000e-06
3.80000000e+01 6.00000000e+00 3.17599645e+00 1.27507000e-01 5.39750000e-08
3.90000000e+01 1.00000000e+00 9.15627724e-01 4.47144000e+00 1.45038000e-05
3.90000000e+01 2.00000000e+00 1.02336697e+00 4.87517000e+00 1.51044000e-05
3.90000000e+01 3.00000000e+00 1.39057920e+00 4.01235000e+01 1.67053000e-04
3.90000000e+01 4.00000000e+00 2.13455801e+00 6.27192000e+00 1.12398000e-05
3.90000000e+01 5.00000000e+00 2.19157246e+00 4.17600000e+00 4.99244000e-06
3.90000000e+01 6.00000000e+00 3.23313680e+00 1.36022000e-01 6.65396000e-08
4.00000000e+01 1.00000000e+00 7.93243636e-01 5.12654000e+00 1.72536000e-05
4.00000000e+01 2.00000000e+00 9.06133312e-01 3.62332000e+00 1.15809000e-05
4.00000000e+01 3.00000000e+00 1.21769814e+00 3.40407000e+01 1.45088000e-04
4.00000000e+01 4.00000000e+00 2.16418945e+00 4.80556000e+00 6.95060000e-06
4.00000000e+01 5.00000000e+00 2.21712073e+00 2.59837000e+00 2.07807000e-06
4.00000000e+01 6.00000000e+00 3.28344190e+00 3.90006000e-01 5.95703000e-07
4.10000000e+01 1.00000000e+00 6.67067179e-01 7.87290000e+00 2.74418000e-05
4.10000000e+01 2.00000000e+00 7.85667892e-01 3.83353000e+00 1.26687000e-05
4.10000000e+01 3.00000000e+00 1.04301534e+00 2.66500000e+01 1.16434000e-04
4.10000000e+01 4.00000000e+00 2.18993259e+00 1.33586000e+00 5.71708000e-07
4.10000000e+01 5.00000000e+00 2.23825307e+00 2.78964000e+00 2.59658000e-06
4.10000000e+01 6.00000000e+00 3.32808093e+00 6.20026000e-01 1.62703000e-06
4.20000000e+01 1.00000000e+00 5.36798561e-01 1.06092000e+01 3.80296000e-05
4.20000000e+01 2.00000000e+00 6.61449077e-01 5.39706000e+00 1.85370000e-05
4.20000000e+01 3.00000000e+00 8.67079408e-01 2.34525000e+01 1.05439000e-04
4.20000000e+01 4.00000000e+00 2.21300758e+00 1.33342000e+00 6.06663000e-07
4.20000000e+01 5.00000000e+00 2.25574893e+00 1.05443000e+00 3.99296000e-07
4.20000000e+01 6.00000000e+00 3.36768345e+00 7.47148000e-01 2.68561000e-06
4.30000000e+01 1.00000000e+00 4.02869483e-01 1.89216000e+01 6.78092000e-05
4.30000000e+01 2.00000000e+00 5.32982209e-01 6.80236000e+00 2.43860000e-05
4.30000000e+01 3.00000000e+00 6.90393995e-01 2.75094000e+01 1.27802000e-04
4.30000000e+01 4.00000000e+00 2.23395405e+00 1.75723000e+00 1.11825000e-06
4.30000000e+01 5.00000000e+00 2.26968026e+00 9.12557000e-01 3.18378000e-07
4.30000000e+01 6.00000000e+00 3.40200964e+00 7.25414000e-01 3.04304000e-06
4.40000000e+01 1.00000000e+00 2.69252189e-01 4.20322000e+01 1.36272000e-04
4.40000000e+01 2.00000000e+00 4.00615048e-01 1.18195000e+01 4.42155000e-05
4.40000000e+01 3.00000000e+00 5.14002378e-01 3.72429000e+01 1.79060000e-04
4.40000000e+01 4.00000000e+00 2.25239725e+00 1.38543000e+00 7.34863000e-07
4.40000000e+01 5.00000000e+00 2.27909373e+00 1.55687000e+00 9.75638000e-07
4.40000000e+01 6.00000000e+00 3.43019008e+00 5.33325000e-01 2.22363000e-06
4.50000000e+01 1.00000000e+00 1.57421978e-01 1.66957000e+02 3.85485000e-04
4.50000000e+01 2.00000000e+00 2.67143152e-01 2.23013000e+01 8.62431000e-05
4.50000000e+01 3.00000000e+00 3.41106336e-01 6.57223000e+01 3.24989000e-04
4.50000000e+01 4.00000000e+00 2.26720998e+00 1.22361000e-01 5.96539000e-09
4.50000000e+01 5.00000000e+00 2.28180385e+00 1.57113000e+00 1.01333000e-06
4.50000000e+01 6.00000000e+00 3.45126546e+00 2.85208000e-01 9.61534000e-07
4.60000000e+01 1.00000000e+00 2.20191828e-01 1.06093000e+02 2.36949000e-04
4.60000000e+01 2.00000000e+00 2.20191828e-01 1.06093000e+02 2.36949000e-04
4.60000000e+01 3.00000000e+00 5.67266422e-01 1.81396000e+01 1.03826000e-04
4.60000000e+01 4.00000000e+00 2.28343772e+00 1.63912000e-01 1.09197000e-08
4.60000000e+01 5.00000000e+00 2.28343772e+00 1.63911000e-01 1.09196000e-08
4.60000000e+01 6.00000000e+00 3.41370152e+00 6.01912000e-01 2.87972000e-06
4.70000000e+01 1.00000000e+00 3.02723966e-01 3.22234000e+01 8.18924000e-05
4.70000000e+01 2.00000000e+00 3.16544377e-01 4.33879000e+01 1.30378000e-04
4.70000000e+01 3.00000000e+00 7.09562695e-01 8.96708000e+00 4.96414000e-05
4.70000000e+01 4.00000000e+00 2.27580501e+00 6.50401000e-01 1.65892000e-07
4.70000000e+01 5.00000000e+00 2.28225954e+00 1.34993000e+00 7.26044000e-07
4.70000000e+01 6.00000000e+00 3.38630054e+00 7.52239000e-01 3.67728000e-06
4.80000000e+01 1.00000000e+00 4.13871850e-01 1.55420000e+01 4.34523000e-05
4.80000000e+01 2.00000000e+00 4.52880785e-01 2.33386000e+01 8.08209000e-05
4.80000000e+01 3.00000000e+00 8.56184967e-01 8.86317000e+00 4.67081000e-05
4.80000000e+01 4.00000000e+00 2.25569197e+00 8.24005000e-01 2.53174000e-07
4.80000000e+01 5.00000000e+00 2.27606283e+00 1.48545000e+00 8.41929000e-07
4.80000000e+01 6.00000000e+00 3.35680100e+00 7.89091000e-01 3.45987000e-06
4.90000000e+01 1.00000000e+00 5.32442584e-01 9.97245000e+00 2.88391000e-05
4.90000000e+01 2.00000000e+00 5.97593381e-01 1.33516000e+01 4.72382000e-05
4.90000000e+01 3.00000000e+00 1.00428221e+00 9.16887000e+00 4.55713000e-05
4.90000000e+01 4.00000000e+00 2.22987988e+00 6.86597000e-01 1.65601000e-07
4.90000000e+01 5.00000000e+00 2.26569903e+00 1.20492000e+00 5.20053000e-07
4.90000000e+01 6.00000000e+00 3.32322430e+00 7.43567000e-01 2.55396000e-06
5.00000000e+01 1.00000000e+00 6.51849737e-01 6.72303000e+00 1.96351000e-05
5.00000000e+01 2.00000000e+00 7.41169766e-01 7.58540000e+00 2.61665000e-05
5.00000000e+01 3.00000000e+00 1.15345871e+00 1.24108000e+01 5.79140000e-05
5.00000000e+01 4.00000000e+00 2.20118379e+00 1.10421000e+00 4.03233000e-07
5.00000000e+01 5.00000000e+00 2.25160281e+00 2.46128000e+00 2.00458000e-06
5.00000000e+01 6.00000000e+00 3.28515072e+00 5.44735000e-01 1.23598000e-06
5.10000000e+01 1.00000000e+00 7.70171644e-01 5.17429000e+00 1.51214000e-05
5.10000000e+01 2.00000000e+00 8.80405162e-01 5.44411000e+00 1.79652000e-05
5.10000000e+01 3.00000000e+00 1.30399027e+00 1.51045000e+01 6.62072000e-05
5.10000000e+01 4.00000000e+00 2.16996345e+00 4.20467000e+00 5.56151000e-06
5.10000000e+01 5.00000000e+00 2.23356132e+00 2.12562000e+00 1.38811000e-06
5.10000000e+01 6.00000000e+00 3.24231044e+00 2.87952000e-01 3.14802000e-07
