k,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11
0.92,-6.8998,-6.099,-5.0357,-4.0457,-3.093,-2.4778,-1.5227,0.8864,1.3253,2.5423,2.6996
0.9233,-6.9072,-6.0975,-5.0383,-4.039,-3.0941,-2.4439,-1.5292,0.8864,1.32,2.5457,2.7114
0.9267,-6.9142,-6.0962,-5.0408,-4.0325,-3.0952,-2.4106,-1.5361,0.8862,1.3151,2.5457,2.7263
0.93,-6.921,-6.0949,-5.0432,-4.026,-3.0964,-2.3778,-1.5432,0.8859,1.3105,2.5434,2.7436
0.9333,-6.9274,-6.0937,-5.0456,-4.0198,-3.0976,-2.3456,-1.5507,0.8854,1.3062,2.5395,2.7623
0.9367,-6.9335,-6.0926,-5.0478,-4.0137,-3.0989,-2.314,-1.5585,0.8847,1.3021,2.5346,2.7818
0.94,-6.9393,-6.0916,-5.0499,-4.0077,-3.1002,-2.2831,-1.5666,0.884,1.2984,2.5292,2.8017
0.9433,-6.9448,-6.0906,-5.0519,-4.002,-3.1015,-2.2528,-1.5751,0.8832,1.2949,2.5235,2.8215
0.9467,-6.95,-6.0897,-5.0539,-3.9965,-3.1028,-2.2232,-1.584,0.8823,1.2917,2.5177,2.841
0.95,-6.9549,-6.0889,-5.0557,-3.9912,-3.104,-2.1943,-1.5932,0.8814,1.2887,2.5119,2.8601
0.9533,-6.9595,-6.0881,-5.0574,-3.9862,-3.1053,-2.1661,-1.6028,0.8804,1.2859,2.5063,2.8785
0.9567,-6.9638,-6.0874,-5.059,-3.9815,-3.1065,-2.1387,-1.6128,0.8794,1.2834,2.501,2.8962
0.96,-6.9677,-6.0867,-5.0605,-3.977,-3.1077,-2.112,-1.6232,0.8784,1.2811,2.4958,2.913
0.9633,-6.9714,-6.0861,-5.0619,-3.9728,-3.1088,-2.0862,-1.6339,0.8774,1.279,2.491,2.9289
0.9667,-6.9747,-6.0856,-5.0631,-3.9689,-3.1099,-2.0613,-1.6449,0.8765,1.2772,2.4866,2.9437
0.97,-6.9777,-6.0851,-5.0643,-3.9654,-3.1109,-2.0374,-1.6563,0.8756,1.2755,2.4825,2.9574
0.9733,-6.9804,-6.0847,-5.0653,-3.9622,-3.1118,-2.0145,-1.6678,0.8747,1.274,2.4788,2.9698
0.9767,-6.9828,-6.0843,-5.0662,-3.9593,-3.1126,-1.9928,-1.6795,0.874,1.2727,2.4755,2.9809
0.98,-6.9848,-6.084,-5.067,-3.9568,-3.1134,-1.9724,-1.6911,0.8733,1.2716,2.4726,2.9907
0.9833,-6.9866,-6.0837,-5.0677,-3.9547,-3.114,-1.9536,-1.7025,0.8727,1.2707,2.4701,2.9991
0.9867,-6.988,-6.0835,-5.0682,-3.953,-3.1145,-1.9367,-1.7133,0.8722,1.27,2.4681,3.006
0.99,-6.9891,-6.0833,-5.0687,-3.9516,-3.1149,-1.9223,-1.723,0.8718,1.2694,2.4665,3.0115
0.9933,-6.9899,-6.0832,-5.069,-3.9506,-3.1152,-1.911,-1.7308,0.8715,1.269,2.4654,3.0154
0.9967,-6.9904,-6.0831,-5.0692,-3.95,-3.1154,-1.9038,-1.7361,0.8713,1.2687,2.4647,3.0177
1.0,-6.9905,-6.0831,-5.0692,-3.9498,-3.1155,-1.9012,-1.7379,0.8713,1.2686,2.4645,3.0185
