f(THz)          MFP(nm)         kappa(W/m-K)
4.928340E-01    1.223710E+04    5.758824E-01
8.638260E+00    3.310910E-01    6.935832E-07
8.639370E+00    2.898190E-01    5.612556E-07
8.647620E+00    9.200900E-02    5.396124E-08
3.787050E-01    3.149630E+03    4.015782E-02
3.787050E-01    3.149630E+03    4.015782E-02
6.640920E-01    9.567830E+03    2.148804E-01
8.625270E+00    4.700630E-01    6.997860E-07
8.625270E+00    4.700630E-01    6.997860E-07
8.646600E+00    8.030310E-02    2.178234E-08
4.743810E-01    2.562150E+03    1.298237E-01
4.840890E-01    2.153560E+03    1.076261E-01
8.742810E-01    3.790710E+03    3.446496E-01
8.606670E+00    6.230640E-01    4.887672E-06
8.610210E+00    5.953960E-01    4.376064E-06
8.642160E+00    1.357700E-01    2.473920E-07
5.811540E-01    1.809680E+03    8.944632E-02
6.020820E-01    1.398200E+03    6.738360E-02
1.132191E+00    1.795570E+03    1.645778E-01
8.577150E+00    8.253310E-01    8.346288E-06
8.590890E+00    7.218100E-01    6.232824E-06
8.633280E+00    2.311250E-01    6.919944E-07
6.977220E-01    1.323340E+03    6.349584E-02
7.234770E-01    9.221770E+02    4.245312E-02
1.408077E+00    9.729920E+02    8.923968E-02
8.537850E+00    1.039300E+00    1.283858E-05
8.567940E+00    8.450410E-01    8.246328E-06
8.619870E+00    3.392880E-01    1.439690E-06
8.182140E-01    1.095240E+03    5.088336E-02
8.434470E-01    6.708900E+02    2.923536E-02
1.691769E+00    4.876920E+02    4.459200E-02
8.489790E+00    1.225360E+00    1.766450E-05
8.541990E+00    9.525860E-01    1.017377E-05
8.602140E+00    4.743580E-01    2.570160E-06
9.379890E-01    8.927390E+02    3.996576E-02
9.590430E-01    5.067350E+02    2.068951E-02
1.979022E+00    3.282820E+02    2.985864E-02
8.434140E+00    1.387130E+00    2.251730E-05
8.513790E+00    1.113210E+00    1.265604E-05
8.580600E+00    6.005480E-01    3.864240E-06
1.053801E+00    6.785520E+02    2.909352E-02
1.068195E+00    3.797280E+02    1.435606E-02
2.267652E+00    1.754880E+02    1.585054E-02
8.372040E+00    1.633970E+00    2.904288E-05
8.484180E+00    1.227900E+00    1.449382E-05
8.555910E+00    7.180360E-01    5.196408E-06
1.163316E+00    5.055540E+02    2.062790E-02
1.169355E+00    2.872230E+02    9.922104E-03
2.556315E+00    1.368120E+02    1.225142E-02
8.304690E+00    1.793220E+00    3.413232E-05
8.454060E+00    1.312120E+00    1.571292E-05
8.528880E+00    8.238190E-01    6.416664E-06
1.261356E+00    2.126620E+02    6.613992E-03
1.264803E+00    3.693600E+02    1.425862E-02
2.844030E+00    1.170100E+02    1.036973E-02
8.233230E+00    1.758620E+00    3.521976E-05
8.424360E+00    1.343040E+00    1.596571E-05
8.500470E+00    8.861250E-01    7.151088E-06
1.343361E+00    1.593370E+02    4.381776E-03
1.356990E+00    2.813290E+02    1.024330E-02
3.129960E+00    1.007460E+02    8.817576E-03
8.158620E+00    2.168690E+00    4.507752E-05
8.395890E+00    1.344370E+00    1.554228E-05
8.471580E+00    9.131790E-01    7.375536E-06
1.414881E+00    1.193580E+02    2.851800E-03
1.438977E+00    2.227350E+02    7.629144E-03
3.413370E+00    6.244380E+01    5.384112E-03
8.081760E+00    2.532690E+00    5.409528E-05
8.369460E+00    1.306460E+00    1.441039E-05
8.443230E+00    9.020960E-01    7.056576E-06
1.475784E+00    8.912320E+01    1.814906E-03
1.510236E+00    1.795620E+02    5.789832E-03
3.693360E+00    5.625900E+01    4.764864E-03
8.003250E+00    2.826430E+00    6.163992E-05
8.345730E+00    1.243270E+00    1.286054E-05
8.416260E+00    8.752100E-01    6.421080E-06
1.526295E+00    6.699230E+01    1.140562E-03
1.570581E+00    1.477590E+02    4.501680E-03
3.969120E+00    4.167690E+01    3.455352E-03
