f(THz)          1/tau_3p(THz)   1/tau_iso(THz)
8.395890E+00    4.512432E-01    7.180494E-02
8.471580E+00    4.872321E-01    5.214515E-02
1.414881E+00    1.006420E-02    4.815982E-04
1.438977E+00    7.573233E-03    5.295753E-04
3.413370E+00    7.330680E-02    9.443806E-04
8.081760E+00    3.002931E-01    2.071691E-01
8.369460E+00    4.305093E-01    8.252955E-02
8.443230E+00    4.699601E-01    5.832420E-02
1.475784E+00    1.142529E-02    6.167327E-04
1.510236E+00    8.753578E-03    7.123541E-04
3.693360E+00    7.989454E-02    1.400325E-03
8.003250E+00    2.635247E-01    1.995561E-01
8.345730E+00    4.086470E-01    9.652345E-02
8.416260E+00    4.447607E-01    6.545638E-02
1.526295E+00    1.262891E-02    7.690196E-04
1.570581E+00    9.923293E-03    9.501844E-04
3.969120E+00    1.058657E-01    2.038847E-03
7.923480E+00    2.370415E-01    2.047580E-01
8.325210E+00    3.960976E-01    1.162657E-01
8.391450E+00    4.218626E-01    7.352042E-02
1.566993E+00    1.377790E-02    9.308590E-04
1.620186E+00    1.078873E-02    1.256979E-03
4.239660E+00    1.562112E-01    2.923625E-03
7.842540E+00    2.182839E-01    2.347193E-01
8.308110E+00    3.868083E-01    1.503179E-01
8.369340E+00    4.012712E-01    8.256853E-02
1.598772E+00    1.466695E-02    1.102065E-03
1.659537E+00    1.155112E-02    1.881887E-03
4.503900E+00    1.365572E-01    4.146003E-03
7.760280E+00    1.812878E-01    2.377433E-02
8.294580E+00    3.748323E-01    2.602255E-01
8.350350E+00    3.833312E-01    9.329048E-02
1.622766E+00    1.541566E-02    1.283626E-03
1.689420E+00    1.251215E-02    2.608091E-03
4.760730E+00    1.095396E-01    5.835403E-03
7.676310E+00    1.587546E-01    2.402300E-02
8.284470E+00    3.663554E-01    6.573726E-01
8.334570E+00    3.740317E-01    1.055202E-01
1.640289E+00    1.665016E-02    1.474784E-03
1.710870E+00    1.386824E-02    2.761729E-03
5.008830E+00    1.296857E-01    8.212042E-03
7.590030E+00    1.270855E-01    2.426617E-02
8.277450E+00    3.552385E-01    4.750711E-01
8.322030E+00    3.667020E-01    1.206346E-01
1.652703E+00    1.858536E-02    1.685667E-03
1.725078E+00    1.522123E-02    2.800162E-03
5.246850E+00    2.399474E-01    1.170279E-02
7.500780E+00    1.007034E-01    2.449706E-02
8.273100E+00    3.517622E-01    4.151267E-01
8.312430E+00    3.641687E-01    1.386294E-01
1.661352E+00    2.065983E-02    2.018680E-03
1.733343E+00    1.652991E-02    2.832899E-03
5.473200E+00    3.310327E-01    1.771291E-02
7.407960E+00    7.895090E-02    2.473535E-02
8.270910E+00    3.503265E-01    3.908974E-01
8.305410E+00    3.618573E-01    1.597312E-01
1.667445E+00    2.241253E-02    2.515677E-03
1.736979E+00    1.780224E-02    2.847694E-03
5.685930E+00    4.821926E-01    2.631470E-02
7.311300E+00    6.318916E-02    2.498493E-02
8.270310E+00    3.566754E-01    3.861729E-01
8.300520E+00    3.616048E-01    1.836753E-01
1.671993E+00    2.364346E-02    2.541820E-03
1.737246E+00    1.957963E-02    2.849141E-03
5.882370E+00    6.509993E-01    1.423049E-02
7.211400E+00    5.327991E-02    2.531543E-02
8.270760E+00    3.678743E-01    3.897417E-01
8.297280E+00    3.688254E-01    2.137656E-01
1.675770E+00    2.448772E-02    2.600295E-03
1.735287E+00    2.099231E-02    2.839688E-03
6.058020E+00    6.248906E-01    1.184519E-02
