# k j freq[thz] mfp[nm] kappa[W/m/K]
47.0 7.0 8.6466908016 0.0143025 2.38497e-10
47.0 8.0 8.8503694864 0.586488 2.37131e-07
47.0 9.0 10.3295132352 2.96813 3.39011e-06
48.0 1.0 0.9243486736 174.601 0.00065977
48.0 2.0 1.67488094352 79.7568 0.000270496
48.0 3.0 2.66512989456 108.255 0.000583285
48.0 4.0 5.1644568256 2.3366 1.1056e-06
48.0 5.0 5.518361281600001 7.77715 1.2532e-05
48.0 6.0 6.9558039632 6.74169 6.93708e-06
48.0 7.0 8.6472903856 0.0115302 1.59677e-10
48.0 8.0 8.8483309008 0.482114 1.88837e-07
48.0 9.0 10.316412324800002 3.04449 3.52926e-06
49.0 1.0 0.95900163088 167.278 0.000638003
49.0 2.0 1.70600534896 74.0908 0.000249098
49.0 3.0 2.7148444019199998 108.33 0.000578535
49.0 4.0 5.16916356 2.33425 1.1121e-06
49.0 5.0 5.53416032 7.97362 1.28105e-05
49.0 6.0 6.9444118672 6.73132 6.98646e-06
49.0 7.0 8.6478300112 0.00873284 9.47034e-11
49.0 8.0 8.8466220864 0.348591 1.3208e-07
49.0 9.0 10.30310156 3.11643 3.66469e-06
50.0 1.0 0.9940473156799999 170.354 0.000655452
50.0 2.0 1.7368749312 74.7335 0.000249025
50.0 3.0 2.7641451963200003 100.135 0.000529898
50.0 4.0 5.1739002736 2.31516 1.10984e-06
50.0 5.0 5.5499293792 8.11758 1.29941e-05
50.0 6.0 6.9329598128 6.70925 7.01967e-06
50.0 7.0 8.6483696368 0.00593963 4.55205e-11
50.0 8.0 8.8452730224 0.334386 1.22389e-07
50.0 9.0 10.289610920000001 3.20692 3.82353e-06
51.0 1.0 1.02946474256 175.063 0.000679162
51.0 2.0 1.7674896902400001 72.4116 0.000239092
51.0 3.0 2.8130292798400003 92.0915 0.000482758
51.0 4.0 5.178636987200001 2.27817 1.09817e-06
51.0 5.0 5.5657284176 8.20231 1.30731e-05
51.0 6.0 6.9214178208 6.68021 7.04134e-06
51.0 7.0 8.6488792832 0.00321453 1.38491e-11
51.0 8.0 8.8442537296 0.368039 1.29952e-07
51.0 9.0 10.2759404048 3.29464 3.98079e-06
52.0 1.0 1.065235924 144.801 0.000566145
52.0 2.0 1.79784063232 69.5612 0.000227543
52.0 3.0 2.8614816628799997 82.049 0.000425952
52.0 4.0 5.1834036800000005 2.19786 1.06465e-06
52.0 5.0 5.581527456000001 8.25589 1.30931e-05
52.0 6.0 6.9098458496 6.63716 7.04382e-06
52.0 7.0 8.649328971200001 0.000552965 4.31322e-13
52.0 8.0 8.843564208 0.326994 1.11243e-07
52.0 9.0 10.2620900144 3.37973 4.1364e-06
53.0 1.0 1.1013518662400001 143.471 0.000565064
53.0 2.0 1.82792775744 66.5566 0.00021564
53.0 3.0 2.9094963496 75.6187 0.000388655
53.0 4.0 5.188200352 2.26425 1.10152e-06
53.0 5.0 5.5972965152 8.29299 1.30781e-05
53.0 6.0 6.898243899200001 6.57946 7.02605e-06
53.0 7.0 8.649718700800001 0.00196087 5.72251e-12
53.0 8.0 8.8431744784 0.355726 1.16459e-07
53.0 9.0 10.248059748800001 3.46381 4.29222e-06
54.0 1.0 1.1377885859199999 150.343 0.000596198
54.0 2.0 1.85774806768 63.4474 0.000203565
54.0 3.0 2.95706434624 68.4679 0.000348286
54.0 4.0 5.1930270032 2.35774 1.15122e-06
54.0 5.0 5.613005616 8.30212 1.30112e-05
54.0 6.0 6.8866119696 6.50539 6.98592e-06
54.0 7.0 8.6500784512 0.00430146 2.91793e-11
54.0 8.0 8.84311452 1.73855 5.47111e-07
54.0 9.0 10.233849608 3.55133 4.45368e-06
55.0 1.0 1.17453409136 148.349 0.000592079
55.0 2.0 1.8872925692800002 59.7389 0.000189756
55.0 3.0 3.0041856528000004 66.2819 0.000333597
55.0 4.0 5.1978536544 2.39152 1.17133e-06
55.0 5.0 5.6287147168 8.29331 1.29088e-05
55.0 6.0 6.874950060800001 6.39962 6.90662e-06
55.0 7.0 8.6503782432 0.00633258 6.84681e-11
55.0 8.0 8.843324374400002 0.358842 1.08436e-07
55.0 9.0 10.219459592 3.62334 4.59669e-06
56.0 1.0 1.21156739712 145.147 0.000582785
56.0 2.0 1.91656126224 57.8598 0.000181916
56.0 3.0 3.0508033088 64.997 0.000323564
56.0 4.0 5.2027102848 2.44277 1.19945e-06
56.0 5.0 5.6443338800000005 8.26471 1.27694e-05
56.0 6.0 6.863318131200001 6.16038 6.67736e-06
56.0 7.0 8.650618076799999 0.00804505 1.20671e-10
56.0 8.0 8.843864 0.309084 8.96028e-08
56.0 9.0 10.20491968 3.68512 4.72744e-06
57.0 1.0 1.24887651152 141.009 0.000569333
57.0 2.0 1.94555114864 55.5201 0.000172745
