# freq[thz] kappa[W/m/K]
2.55422784 41.26900085
2.55722576 41.29385165
2.56022368 41.31873280
2.56322160 41.34363090
2.56621952 41.36853930
2.56921744 41.39345825
2.57221536 41.41839580
2.57521328 41.44335920
2.57821120 41.46835010
2.58120912 41.49337255
2.58420704 41.51842890
2.58720496 41.54352500
2.59020288 41.56868225
2.59320080 41.59392115
2.59619872 41.61924930
2.59919664 41.64466775
2.60219456 41.67017980
2.60519248 41.69578855
2.60819040 41.72148830
2.61118832 41.74726780
2.61418624 41.77311920
2.61718416 41.79903525
2.62018208 41.82499895
2.62318000 41.85099250
2.62617792 41.87699710
2.62917584 41.90299285
2.63217376 41.92896510
2.63517168 41.95490115
2.63816960 41.98079060
2.64116752 42.00662440
2.64416544 42.03239935
2.64716336 42.05811115
2.65016128 42.08373975
2.65315920 42.10926230
2.65615712 42.13466490
2.65915504 42.15993455
2.66215296 42.18505930
2.66515088 42.21003670
2.66814880 42.23486710
2.67114672 42.25954885
2.67414464 42.28408525
2.67714256 42.30848450
2.68014048 42.33275720
2.68313840 42.35691445
2.68613632 42.38096465
2.68913424 42.40491195
2.69213216 42.42875905
2.69513008 42.45251400
2.69812800 42.47618290
2.70112592 42.49976275
2.70412384 42.52325305
2.70712176 42.54665025
2.71011968 42.56994525
2.71311760 42.59313280
2.71611552 42.61621100
2.71911344 42.63918025
2.72211136 42.66204440
2.72510928 42.68480635
2.72810720 42.70746820
2.73110512 42.73003600
2.73410304 42.75251735
2.73710096 42.77491190
2.74009888 42.79721315
2.74309680 42.81941795
2.74609472 42.84152040
2.74909264 42.86350730
2.75209056 42.88535830
2.75508848 42.90705585
2.75808640 42.92859370
2.76108432 42.94997425
2.76408224 42.97120080
2.76708016 42.99227440
2.77007808 43.01319770
2.77307600 43.03397965
2.77607392 43.05463740
2.77907184 43.07519115
2.78206976 43.09565605
2.78506768 43.11604090
2.78806560 43.13635570
2.79106352 43.15661705
2.79406144 43.17684530
2.79705936 43.19705520
2.80005728 43.21725490
2.80305520 43.23744945
2.80605312 43.25764310
2.80905104 43.27783995
2.81204896 43.29804860
2.81504688 43.31827605
2.81804480 43.33852060
2.82104272 43.35877575
2.82404064 43.37903400
2.82703856 43.39929185
2.83003648 43.41954640
2.83303440 43.43979060
2.83603232 43.46001660
2.83903024 43.48021960
2.84202816 43.50039550
2.84502608 43.52054250
2.84802400 43.54065685
2.85102192 43.56073195
2.85401984 43.58075840
2.85701776 43.60072235
