# Efermi (eV) : -1.044522
# (SCF 12x12x1 G-cntrd k points)
"k_distance (normalized)" E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11
0.85714 -5.82828 -5.26228 -4.09598 -3.29498 -2.31428 -2.21158 -0.56528 1.69792 2.34422 2.98852 3.72692
0.86395 -5.85388 -5.25558 -4.10298 -3.28348 -2.23308 -2.20878 -0.57368 1.70792 2.32192 3.03942 3.69792
0.87075 -5.87848 -5.24918 -4.10998 -3.27128 -2.20668 -2.15248 -0.58208 1.71682 2.30082 3.09112 3.66962
0.87755 -5.90188 -5.24338 -4.11688 -3.25858 -2.20528 -2.07268 -0.59068 1.72442 2.28082 3.14322 3.64252
0.88435 -5.92408 -5.23788 -4.12368 -3.24538 -2.20448 -1.99388 -0.59958 1.73082 2.26202 3.19522 3.61682
0.89116 -5.94518 -5.23298 -4.13028 -3.23178 -2.20448 -1.91618 -0.60878 1.73592 2.24462 3.24642 3.59322
0.89796 -5.96498 -5.22838 -4.13668 -3.21808 -2.20488 -1.83988 -0.61858 1.73992 2.22862 3.29552 3.57272
0.90476 -5.98368 -5.22418 -4.14288 -3.20418 -2.20598 -1.76518 -0.62898 1.74272 2.21392 3.34042 3.55742
0.91156 -6.00108 -5.22048 -4.14888 -3.19038 -2.20738 -1.69218 -0.64028 1.74442 2.20062 3.37682 3.55132
0.91837 -6.01728 -5.21708 -4.15448 -3.17678 -2.20928 -1.62108 -0.65248 1.74522 2.18872 3.39862 3.56002
0.92517 -6.03228 -5.21408 -4.15978 -3.16358 -2.21148 -1.55218 -0.66578 1.74512 2.17812 3.40412 3.58532
0.93197 -6.04588 -5.21138 -4.16468 -3.15078 -2.21388 -1.48548 -0.68028 1.74432 2.16882 3.39882 3.62102
0.93878 -6.05828 -5.20898 -4.16918 -3.13868 -2.21638 -1.42128 -0.69628 1.74292 2.16072 3.38872 3.66072
0.94558 -6.06948 -5.20688 -4.17328 -3.12728 -2.21908 -1.35968 -0.71368 1.74122 2.15372 3.37712 3.70082
0.95238 -6.07928 -5.20518 -4.17698 -3.11688 -2.22158 -1.30098 -0.73268 1.73922 2.14782 3.36562 3.73932
0.95918 -6.08778 -5.20368 -4.18018 -3.10748 -2.22408 -1.24538 -0.75328 1.73712 2.14292 3.35482 3.77482
0.96599 -6.09508 -5.20238 -4.18298 -3.09928 -2.22628 -1.19318 -0.77538 1.73502 2.13882 3.34532 3.80642
0.97279 -6.10098 -5.20138 -4.18518 -3.09248 -2.22828 -1.14478 -0.79888 1.73322 2.13562 3.33722 3.83332
0.97959 -6.10558 -5.20058 -4.18698 -3.08698 -2.22988 -1.10098 -0.82308 1.73162 2.13322 3.33082 3.85502
0.98639 -6.10888 -5.20008 -4.18828 -3.08308 -2.23108 -1.06358 -0.84648 1.73042 2.13152 3.32622 3.87082
0.99320 -6.11088 -5.19978 -4.18898 -3.08068 -2.23178 -1.03608 -0.86538 1.72972 2.13042 3.32342 3.88042
1.00000 -6.11158 -5.19968 -4.18928 -3.07988 -2.23208 -1.02548 -0.87328 1.72952 2.13012 3.32252 3.88372
