# 8x8x1 supercell for harmonic, 6x6x1 supercell for cubic ifcs
# 100x100x1 k points for kappa
# cubic ifcs up to 8NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 300 K
"k index (irred.)" "branch index" "f (THz)" "1/tau_3ph (THz)" "1/tau_iso (THz)"
44 4 5.45664 0.12140 0.07390
44 5 6.17045 0.11692 0.18683
44 6 6.47872 0.12433 0.10053
44 7 8.50520 0.14181 0.55149
44 8 8.95147 0.29431 0.87350
44 9 9.11189 0.24359 0.28451
45 1 3.17651 0.03873 0.00788
45 2 3.78704 0.08997 0.01937
45 3 4.73810 0.08771 0.03655
45 4 5.46111 0.11844 0.07802
45 5 6.16436 0.11662 0.19826
45 6 6.48553 0.12594 0.09536
45 7 8.50130 0.14299 0.64305
45 8 8.95252 0.31342 0.97182
45 9 9.09193 0.24492 0.31883
46 1 3.18916 0.03781 0.00849
46 2 3.83441 0.10620 0.01645
46 3 4.74158 0.08416 0.04468
46 4 5.46492 0.11785 0.08284
46 5 6.15810 0.11677 0.21618
46 6 6.49189 0.12882 0.09222
46 7 8.49798 0.14354 0.79400
46 8 8.95336 0.33557 1.08494
46 9 9.07508 0.24708 0.35776
47 1 3.19954 0.03712 0.00918
47 2 3.87401 0.13298 0.01929
47 3 4.74386 0.07789 0.04612
47 4 5.46806 0.11804 0.08747
47 5 6.15216 0.11816 0.23882
47 6 6.49752 0.13298 0.08971
47 7 8.49522 0.14518 1.26374
47 8 8.95399 0.36203 1.21965
47 9 9.06138 0.24911 0.40753
48 1 3.20760 0.03656 0.01006
48 2 3.90534 0.16098 0.02441
48 3 4.74523 0.07424 0.06195
48 4 5.47049 0.11777 0.09454
48 5 6.14697 0.12494 0.26550
48 6 6.50214 0.13877 0.08790
48 7 8.49309 0.14615 0.96949
48 8 8.95447 0.39538 1.39577
48 9 9.05073 0.25122 0.48793
49 1 3.21339 0.03626 0.01088
49 2 3.92803 0.04920 0.02868
49 3 4.74604 0.07322 0.04238
49 4 5.47223 0.11758 0.10397
49 5 6.14296 0.11811 0.30510
49 6 6.50559 0.14829 0.08636
49 7 8.49153 0.14534 0.84498
49 8 8.95480 0.43560 1.56317
49 9 9.04318 0.25327 0.54232
50 1 3.21686 0.03605 0.01238
50 2 3.94176 0.04966 0.02618
50 3 4.74643 0.06914 0.02192
50 4 5.47328 0.11746 0.11843
50 5 6.14041 0.10678 0.36655
50 6 6.50768 0.17009 0.11345
50 7 8.49060 0.14625 0.77572
50 8 8.95498 0.47572 1.87522
50 9 9.03865 0.25474 0.66560
51 1 3.21800 0.03602 0.01513
51 2 3.94638 0.04990 0.01214
51 3 4.74655 0.06694 0.00117
51 4 5.47364 0.11748 0.13824
51 5 6.13954 0.10436 0.41200
51 6 6.50840 0.18281 0.02121
51 7 8.49030 0.14643 0.30980
51 8 8.95504 0.49555 2.35391
51 9 9.03715 0.25502 0.85298
52 1 0.02393 0.00006 0.00000
52 2 0.19643 0.00227 0.00000
52 3 0.31338 0.00318 0.00000
52 4 5.03250 0.13250 0.02318
52 5 5.03936 0.13373 0.02242
52 6 7.23999 0.13321 0.03359
52 7 8.60764 0.12503 0.54368
52 8 8.66637 0.12716 0.02365
52 9 10.64197 0.27225 0.07375
53 1 0.04372 0.00016 0.00000
53 2 0.29983 0.00310 0.00000
53 3 0.47814 0.00423 0.00001
53 4 5.03474 0.13559 0.02311
53 5 5.05063 0.13552 0.02280
53 6 7.23435 0.13360 0.03277
53 7 8.60839 0.12508 0.54373
53 8 8.67273 0.12812 0.02276
53 9 10.63559 0.27374 0.06951
54 1 0.07155 0.00030 0.00000
54 2 0.40799 0.00482 0.00001
54 3 0.65054 0.00525 0.00002
54 4 5.03816 0.13460 0.02206
54 5 5.06724 0.13804 0.02305
54 6 7.22599 0.13336 0.03005
54 7 8.60947 0.12508 0.53311
54 8 8.68169 0.12925 0.02441
54 9 10.62608 0.27684 0.06644
55 1 0.10751 0.00054 0.00000
55 2 0.51751 0.00650 0.00001
55 3 0.82506 0.00506 0.00005
55 4 5.04266 0.13781 0.02192
55 5 5.08880 0.15055 0.02406
55 6 7.21502 0.13303 0.03021
55 7 8.61088 0.12504 0.54451
55 8 8.69266 0.13076 0.02702
55 9 10.61355 0.28128 0.06731
56 1 0.15146 0.00086 0.00000
56 2 0.62718 0.00871 0.00002
56 3 0.99979 0.00636 0.00008
56 4 5.04824 0.14862 0.02259
56 5 5.11494 0.17101 0.02499
56 6 7.20155 0.13254 0.03042
56 7 8.61256 0.12496 0.56528
56 8 8.70498 0.13263 0.03037
56 9 10.59802 0.28910 0.06850
57 1 0.20306 0.00126 0.00001
57 2 0.73644 0.00849 0.00003
57 3 1.17378 0.00845 0.00014
57 4 5.05483 0.16035 0.02277
57 5 5.14522 0.15310 0.02651
57 6 7.18573 0.13208 0.03058
57 7 8.61445 0.12470 0.58413
57 8 8.71811 0.13481 0.03448
57 9 10.57965 0.30057 0.06981
58 1 0.26194 0.00202 0.00001
58 2 0.84493 0.00925 0.00005
58 3 1.34646 0.01152 0.00021
58 4 5.06245 0.18568 0.02336
58 5 5.17909 0.14447 0.02808
58 6 7.16771 0.13198 0.03067
58 7 8.61651 0.12420 0.60886
