# 8x8x1 supercell for harmonic, 6x6x1 supercell for cubic ifcs
# 100x100x1 k points for kappa
# cubic ifcs up to 8NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 300 K
"temperature (K)" "frequency (THz)" "kappa spec (W/mK/THz)" "cumulative kappa (W/mK)"
300.00000 10.43278 0.05202 62.43730
300.00000 10.46276 0.04549 62.43866
300.00000 10.49274 0.03812 62.43980
300.00000 10.52272 0.03121 62.44074
300.00000 10.55269 0.02591 62.44152
300.00000 10.58267 0.01778 62.44205
300.00000 10.61265 0.01003 62.44235
300.00000 10.64263 0.00132 62.44239
300.00000 10.67261 0.00000 62.44239
300.00000 10.70259 0.00000 62.44239
300.00000 10.73257 0.00000 62.44239
300.00000 10.76255 0.00000 62.44239
300.00000 10.79253 0.00000 62.44239
300.00000 10.82251 0.00000 62.44239
300.00000 10.85249 0.00000 62.44239
300.00000 10.88247 0.00000 62.44239
300.00000 10.91245 0.00000 62.44239
300.00000 10.94242 0.00000 62.44239
300.00000 10.97240 0.00000 62.44239
300.00000 11.00238 0.00000 62.44239
300.00000 11.03236 0.00000 62.44239
300.00000 11.06234 0.00000 62.44239
300.00000 11.09232 0.00000 62.44239
300.00000 11.12230 0.00000 62.44239
300.00000 11.15228 0.00000 62.44239
300.00000 11.18226 0.00000 62.44239
300.00000 11.21224 0.00000 62.44239
300.00000 11.24222 0.00000 62.44239
300.00000 11.27220 0.00000 62.44239
300.00000 11.30218 0.00000 62.44239
300.00000 11.33215 0.00000 62.44239
300.00000 11.36213 0.00000 62.44239
300.00000 11.39211 0.00000 62.44239
300.00000 11.42209 0.00000 62.44239
300.00000 11.45207 0.00000 62.44239
300.00000 11.48205 0.00000 62.44239
300.00000 11.51203 0.00000 62.44239
300.00000 11.54201 0.00000 62.44239
300.00000 11.57199 0.00000 62.44239
300.00000 11.60197 0.00000 62.44239
300.00000 11.63195 0.00000 62.44239
300.00000 11.66193 0.00000 62.44239
300.00000 11.69191 0.00000 62.44239
300.00000 11.72189 0.00000 62.44239
300.00000 11.75186 0.00000 62.44239
300.00000 11.78184 0.00000 62.44239
300.00000 11.81182 0.00000 62.44239
300.00000 11.84180 0.00000 62.44239
300.00000 11.87178 0.00000 62.44239
300.00000 11.90176 0.00000 62.44239
300.00000 11.93174 0.00000 62.44239
300.00000 11.96172 0.00000 62.44239
